ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
01,ALABAMA,AL,01015,Calhoun,01015981901,"Census Tract 9819.01, Calhoun County, Alabama",24.243865045496,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,656
01,ALABAMA,AL,01015,Calhoun,01015981902,"Census Tract 9819.02, Calhoun County, Alabama",34.64671432073,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,146
01,ALABAMA,AL,01015,Calhoun,01015981903,"Census Tract 9819.03, Calhoun County, Alabama",13.926275586106,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,0
01,ALABAMA,AL,01097,Mobile,01097003605,"Census Tract 36.05, Mobile County, Alabama",0.732299586096,899,316,0,12,0,12,0,12,40,39,2651,404,0,12,0,12,22,30,42,40,0,17,330,392,0,48,0,17,0,12,0,17,0,12,899,316,-999.0,-999.0,9.9,10.1,2651.0,404.0,-999.0,-999.0,0.0,3.5,2.4,3.2,4.7,4.3,0.0,-999.0,36.7,41.7,0.0,5.3,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,100.0,0.0,-999.0,0.724,1.0,-999.0,-999.0,-999.0,0.0,0.0043,0.0077,0.0,0.012,0.0017,0.5835,0.0,0.5835,0.2615,0.0,-999.0,0.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999,0,1,-999,-999,0,0,0,0,0,0,0,0,0,-999,0,-999,1,-999,-999,33,36,3.7,4.1,5135
01,ALABAMA,AL,01097,Mobile,01097990000,"Census Tract 9900, Mobile County, Alabama",0.0,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,0
01,ALABAMA,AL,01117,Shelby,01117980000,"Census Tract 9800, Shelby County, Alabama",13.636478621864,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,53
01,ALABAMA,AL,01089,Madison,01089001903,"Census Tract 19.03, Madison County, Alabama",1.825165158116,2266,128,978,24,881,49,40,31,17,15,77849,9068,38,25,499,50,459,57,202,57,11,11,260,206,0,48,0,17,0,12,0,17,6,9,0,12,1.8,1.3,1.5,1.4,77849.0,9068.0,2.3,1.5,22.0,2.4,20.3,2.2,8.9,2.4,1.2,1.3,11.5,9.1,0.0,2.2,0.0,1.7,0.0,3.3,0.0,1.9,0.7,1.0,0.0,0.5,0.0102,0.0281,0.0009,0.0384,0.0776,0.0017,0.8612,0.3083,0.075,0.017,1.2615,0.1005,0.1925,0.0,0.1925,0.0963,0.0,0.0,0.0,0.0469,0.0,0.0469,0.0,1.5785,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,40,1.7,1.8,2571
01,ALABAMA,AL,01117,Shelby,01117030211,"Census Tract 302.11, Shelby County, Alabama",16.341636261422,3052,264,1155,69,1052,76,99,91,0,12,58867,17985,18,20,446,71,765,116,132,56,6,16,138,369,0,48,0,17,23,37,0,17,12,17,0,12,3.2,2.9,0.0,2.1,58867.0,17985.0,0.9,1.0,14.6,2.5,25.1,3.1,4.3,1.8,0.6,1.5,4.5,12.1,0.0,1.7,0.0,1.5,2.0,3.2,0.0,1.6,1.1,1.7,0.0,0.4,0.0367,0.0,0.0162,0.0094,0.0623,0.0009,0.3194,0.7376,0.006,0.0102,1.0732,0.0656,0.04,0.0,0.04,0.0256,0.0,0.324,0.0,0.0827,0.0,0.4067,0.0094,1.5822,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,97,4.7,3.0,1713
01,ALABAMA,AL,01089,Madison,01089010621,"Census Tract 106.21, Madison County, Alabama",8.56790260905,7417,446,2784,90,2689,142,224,163,135,90,47289,3303,88,63,902,109,1789,173,461,152,76,50,2624,608,0,68,0,24,0,17,0,24,24,28,0,17,3.0,2.2,3.4,2.2,47289.0,3303.0,1.7,1.2,12.2,1.5,24.1,1.8,6.2,2.0,2.8,1.9,35.4,7.9,0.0,1.0,0.0,0.9,0.0,1.2,0.0,0.9,0.9,1.0,0.0,0.2,0.0332,0.178,0.046,0.0222,0.2794,0.0298,0.1857,0.667,0.0221,0.0698,0.9446,0.0434,0.5639,0.0,0.5639,0.2504,0.0,0.0,0.0,0.0656,0.0,0.0656,0.0009,1.8535,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,90,1.8,1.2,2790
01,ALABAMA,AL,01089,Madison,01089001801,"Census Tract 18.01, Madison County, Alabama",4.19029743815,4024,292,1630,44,1523,76,57,46,31,25,49889,6325,35,28,762,64,1000,189,362,74,52,51,427,415,0,48,0,17,0,12,0,17,25,26,0,12,1.4,1.1,1.5,1.2,49889.0,6325.0,1.2,1.0,18.9,2.2,24.9,4.3,9.0,1.9,3.4,3.4,10.6,10.3,0.0,1.3,0.0,1.0,0.0,2.0,0.0,1.1,1.6,1.7,0.0,0.3,0.0051,0.0281,0.0366,0.0171,0.0869,0.0043,0.6848,0.7223,0.0792,0.109,1.5953,0.2419,0.1729,0.0,0.1729,0.0894,0.0,0.0,0.0,0.1279,0.0,0.1279,0.0017,1.983,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,94,2.6,2.3,1774
